dal11-gpgw1.tesla.com,199.120.56.30
model3.tesla.com,205.234.27.221
hnd13-gpgw1.tesla.com,199.120.52.30
ptr1.tesla.com,117.50.35.199
ptr2.tesla.com,117.50.14.178
sin05-gpgw1.tesla.com,199.120.53.30
events.tesla.com,13.111.47.195
view.emails.tesla.com,13.111.49.179
o7.ptr6980.tesla.com,149.72.144.42
o3.ptr1444.tesla.com,149.72.152.236
o5.ptr8466.tesla.com,149.72.172.170
lax32-gpgw1.tesla.com,199.120.54.30
o2.ptr556.tesla.com,149.72.134.64
mta5.emails.tesla.com,13.111.88.53
mta3.emails.tesla.com,13.111.88.2
o6.ptr9437.tesla.com,168.245.123.10
click.emails.tesla.com,13.111.48.179
mta.emails.tesla.com,13.111.62.118
iad05-gpgw1.tesla.com,199.120.48.30
ams13-gpgw1.tesla.com,199.120.50.30
emails.tesla.com,13.111.18.27
itanswers.tesla.com,204.74.99.100
tesla.com,2.18.55.207
mta4.emails.tesla.com,13.111.88.52
mta2.emails.tesla.com,13.111.88.1
xmail.tesla.com,204.74.99.100
mta2.email.tesla.com,13.111.4.231
mta.email.tesla.com,13.111.14.190
marketing.tesla.com,13.111.47.196
